Passengerid;Age;Fare;Sex;sibsp;Pclass;Embarked;Survived
97;71;346542;0;0;1;0;0
98;23;633583;0;0;1;0;1
99;34;23;1;0;2;2;1
100;34;26;0;1;2;2;0
101;28;78958;1;0;3;2;0
102;28;78958;0;0;3;2;0
103;21;772875;0;0;1;2;0
104;33;86542;0;0;3;2;0
105;37;7925;0;2;3;2;0
106;28;78958;0;0;3;2;0
107;21;765;1;0;3;2;1
108;28;7775;0;0;3;2;1
109;38;78958;0;0;3;2;0
110;28;2415;1;1;3;1;1
111;47;52;0;0;1;2;0
112;145;144542;1;1;3;0;0
113;22;805;0;0;3;2;0
114;20;9825;1;1;3;2;0
115;17;144583;1;0;3;0;0
116;21;7925;0;0;3;2;0
117;705;775;0;0;3;1;0
118;29;21;0;1;2;2;0
119;24;2475208;0;0;1;0;0
120;2;31275;1;4;3;2;0
121;21;735;0;2;2;2;0
122;28;805;0;0;3;2;0
123;325;300708;0;1;2;0;0
124;325;13;1;0;2;2;1
125;54;772875;0;0;1;2;0
126;12;112417;0;1;3;0;1
127;28;775;0;0;3;1;0
128;24;71417;0;0;3;2;1
129;28;223583;1;1;3;0;1
130;45;6975;0;0;3;2;0
131;33;78958;0;0;3;0;0
132;20;705;0;0;3;2;0
133;47;145;1;1;3;2;0
134;29;26;1;1;2;2;1
135;25;13;0;0;2;2;0
136;23;150458;0;0;2;0;0
137;19;262833;1;0;1;2;1
138;37;531;0;1;1;2;0
139;16;92167;0;0;3;2;0
140;24;792;0;0;1;0;0
141;28;152458;1;0;3;0;0
142;22;775;1;0;3;2;1
143;24;1585;1;1;3;2;1
144;19;675;0;0;3;1;0
145;18;115;0;0;2;2;0
146;19;3675;0;1;2;2;0
147;27;77958;0;0;3;2;1
148;9;34375;1;2;3;2;0
149;365;26;0;0;2;2;0
150;42;13;0;0;2;2;0
151;51;12525;0;0;2;2;0
152;22;666;1;1;1;2;1
153;555;805;0;0;3;2;0
154;405;145;0;0;3;2;0
155;28;73125;0;0;3;2;0
156;51;613792;0;0;1;0;0
157;16;77333;1;0;3;1;1
158;30;805;0;0;3;2;0
159;28;86625;0;0;3;2;0
160;28;6955;0;8;3;2;0
161;44;161;0;0;3;2;0
162;40;1575;1;0;2;2;1
163;26;7775;0;0;3;2;0
164;17;86625;0;0;3;2;0
165;1;396875;0;4;3;2;0
166;9;20525;0;0;3;2;1
167;28;55;1;0;1;2;1
168;45;279;1;1;3;2;0
169;28;25925;0;0;1;2;0
170;28;564958;0;0;3;2;0
171;61;335;0;0;1;2;0
172;4;29125;0;4;3;1;0
173;1;111333;1;1;3;2;1
174;21;7925;0;0;3;2;0
175;56;306958;0;0;1;0;0
176;18;78542;0;1;3;2;0
177;28;254667;0;3;3;2;0
178;50;287125;1;0;1;0;0
179;30;13;0;0;2;2;0
180;36;0;0;0;3;2;0
181;28;6955;1;8;3;2;0
182;28;1505;0;0;2;0;0
183;9;313875;0;4;3;2;0
184;1;39;0;2;2;2;1
185;4;22025;1;0;3;2;1
186;28;50;0;0;1;2;0
187;28;155;1;1;3;1;1
188;45;2655;0;0;1;2;1
189;40;155;0;1;3;1;0
190;36;78958;0;0;3;2;0
191;32;13;1;0;2;2;1
192;19;13;0;0;2;2;0
193;19;78542;1;1;3;2;1
194;3;26;0;1;2;2;1
195;44;277208;1;0;1;0;1
196;58;1465208;1;0;1;0;1
197;28;775;0;0;3;1;0
198;42;84042;0;0;3;2;0
199;28;775;1;0;3;1;1
200;24;13;1;0;2;2;0
201;28;95;0;0;3;2;0
202;28;6955;0;8;3;2;0
203;34;64958;0;0;3;2;0
204;455;7225;0;0;3;0;0
205;18;805;0;0;3;2;1
206;2;104625;1;0;3;2;0
207;32;1585;0;1;3;2;0
208;26;187875;0;0;3;0;1
209;16;775;1;0;3;1;1
210;40;31;0;0;1;0;1
211;24;705;0;0;3;2;0
212;35;21;1;0;2;2;1
213;22;725;0;0;3;2;0
214;30;13;0;0;2;2;0
215;28;775;0;1;3;1;0
216;31;113275;1;1;1;0;1
217;27;7925;1;0;3;2;1
218;42;27;0;1;2;2;0
219;32;762917;1;0;1;0;1
220;30;105;0;0;2;2;0
221;16;805;0;0;3;2;1
222;27;13;0;0;2;2;0
223;51;805;0;0;3;2;0
224;28;78958;0;0;3;2;0
225;38;90;0;1;1;2;1
226;22;935;0;0;3;2;0
227;19;105;0;0;2;2;1
228;205;725;0;0;3;2;0
229;18;13;0;0;2;2;0
230;28;254667;1;3;3;2;0
231;35;83475;1;1;1;2;1
232;29;7775;0;0;3;2;0
233;59;135;0;0;2;2;0
234;5;313875;1;4;3;2;1
235;24;105;0;0;2;2;0
236;28;755;1;0;3;2;0
237;44;26;0;1;2;2;0
238;8;2625;1;0;2;2;1
239;19;105;0;0;2;2;0
240;33;12275;0;0;2;2;0
241;28;144542;1;1;3;0;0
242;28;155;1;1;3;1;1
243;29;105;0;0;2;2;0
244;22;7125;0;0;3;2;0
245;30;7225;0;0;3;0;0
246;44;90;0;2;1;1;0
247;25;7775;1;0;3;2;0
248;24;145;1;0;2;2;1
249;37;525542;0;1;1;2;1
250;54;26;0;1;2;2;0
251;28;725;0;0;3;2;0
252;29;104625;1;1;3;2;0
253;62;2655;0;0;1;2;0
254;30;161;0;1;3;2;0
255;41;202125;1;0;3;2;0
256;29;152458;1;0;3;0;1
257;28;792;1;0;1;0;1
258;30;865;1;0;1;2;1
259;35;5123292;1;0;1;0;1
260;50;26;1;0;2;2;1
261;28;775;0;0;3;1;0
262;3;313875;0;4;3;2;1
263;52;7965;0;1;1;2;0
264;40;0;0;0;1;2;0
265;28;775;1;0;3;1;0
266;36;105;0;0;2;2;0
267;16;396875;0;4;3;2;0
268;25;7775;0;1;3;2;1
269;58;1534625;1;0;1;2;1
270;35;1356333;1;0;1;2;1
271;28;31;0;0;1;2;0
272;25;0;0;0;3;2;1
273;41;195;1;0;2;2;1
274;37;297;0;0;1;0;0
275;28;775;1;0;3;1;1
276;63;779583;1;1;1;2;1
277;45;775;1;0;3;2;0
278;28;0;0;0;2;2;0
279;7;29125;0;4;3;1;0
280;35;2025;1;1;3;2;1
281;65;775;0;0;3;1;0
282;28;78542;0;0;3;2;0
283;16;95;0;0;3;2;0
284;19;805;0;0;3;2;1
285;28;26;0;0;1;2;0
286;33;86625;0;0;3;0;0
287;30;95;0;0;3;2;1
288;22;78958;0;0;3;2;0
289;42;13;0;0;2;2;1
290;22;775;1;0;3;1;1
291;26;7885;1;0;1;2;1
292;19;910792;1;1;1;0;1
293;36;12875;0;0;2;0;0
294;24;885;1;0;3;2;0
295;24;78958;0;0;3;2;0
296;28;277208;0;0;1;0;0
297;235;72292;0;0;3;0;0
298;2;15155;1;1;1;2;0
299;28;305;0;0;1;2;1
300;50;2475208;1;0;1;0;1
301;28;775;1;0;3;1;1
302;28;2325;0;2;3;1;1
303;19;0;0;0;3;2;0
304;28;1235;1;0;2;1;1
305;28;805;0;0;3;2;0
306;92;15155;0;1;1;2;1
307;28;1108833;1;0;1;0;1
308;17;1089;1;1;1;0;1
309;30;24;0;1;2;0;0
310;30;569292;1;0;1;0;1
311;24;831583;1;0;1;0;1
312;18;262375;1;2;1;0;1
313;26;26;1;1;2;2;0
314;28;78958;0;0;3;2;0
315;43;2625;0;1;2;2;0
316;26;78542;1;0;3;2;1
317;24;26;1;1;2;2;1
318;54;14;0;0;2;2;0
319;31;1648667;1;0;1;2;1
320;40;1345;1;1;1;0;1
321;22;725;0;0;3;2;0
322;27;78958;0;0;3;2;0
323;30;1235;1;0;2;1;1
324;22;29;1;1;2;2;1
325;28;6955;0;8;3;2;0
326;36;1356333;1;0;1;0;1
327;61;62375;0;0;3;2;0
328;36;13;1;0;2;2;1
329;31;20525;1;1;3;2;1
330;16;579792;1;0;1;0;1
331;28;2325;1;2;3;1;1
332;455;285;0;0;1;2;0
333;38;1534625;0;0;1;2;0
334;16;18;0;2;3;2;0
335;28;13365;1;1;1;2;1
336;28;78958;0;0;3;2;0
337;29;666;0;1;1;2;0
338;41;1345;1;0;1;0;1
339;45;805;0;0;3;2;1
340;45;355;0;0;1;2;0
341;2;26;0;1;2;2;1
342;24;263;1;3;1;2;1
343;28;13;0;0;2;2;0
344;25;13;0;0;2;2;0
345;36;13;0;0;2;2;0
346;24;13;1;0;2;2;1
347;40;13;1;0;2;2;1
348;28;161;1;1;3;2;1
349;3;159;0;1;3;2;1
350;42;86625;0;0;3;2;0
351;23;9225;0;0;3;2;0
352;28;35;0;0;1;2;0
353;15;72292;0;1;3;0;0
354;25;178;0;1;3;2;0
355;28;7225;0;0;3;0;0
356;28;95;0;0;3;2;0
357;22;55;1;0;1;2;1
358;38;13;1;0;2;2;0
359;28;78792;1;0;3;1;1
360;28;78792;1;0;3;1;1
361;40;279;0;1;3;2;0
362;29;277208;0;1;2;0;0
363;45;144542;1;0;3;0;0
364;35;705;0;0;3;2;0
365;28;155;0;1;3;1;0
366;30;725;0;0;3;2;0
367;60;7525;1;1;1;0;1
368;28;72292;1;0;3;0;1
369;28;775;1;0;3;1;1
370;24;693;1;0;1;0;1
371;25;554417;0;1;1;0;1
372;18;64958;0;1;3;2;0
373;19;805;0;0;3;2;0
374;22;1356333;0;0;1;0;0
375;3;21075;1;3;3;2;0
376;28;821708;1;1;1;0;1
377;22;725;1;0;3;2;1
378;27;2115;0;0;1;0;0
379;20;40125;0;0;3;0;0
380;19;7775;0;0;3;2;0
381;42;227525;1;0;1;0;1
382;1;157417;1;0;3;0;1
383;32;7925;0;0;3;2;0
384;35;52;1;1;1;2;1
385;28;78958;0;0;3;2;0
386;18;735;0;0;2;2;0
387;1;469;0;5;3;2;0
388;36;13;1;0;2;2;1
389;28;77292;0;0;3;1;0
390;17;12;1;0;2;0;1
391;36;120;0;1;1;2;1
392;21;77958;0;0;3;2;1
393;28;7925;0;2;3;2;0
394;23;113275;1;1;1;0;1
395;24;167;1;0;3;2;1
396;22;77958;0;0;3;2;0
397;31;78542;1;0;3;2;0
398;46;26;0;0;2;2;0
399;23;105;0;0;2;2;0
400;28;1265;1;0;2;2;1
401;39;7925;0;0;3;2;1
402;26;805;0;0;3;2;0
403;21;9825;1;1;3;2;0
404;28;1585;0;1;3;2;0
405;20;86625;1;0;3;2;0
406;34;21;0;1;2;2;0
407;51;775;0;0;3;2;0
408;3;1875;0;1;2;2;1
409;21;7775;0;0;3;2;0
410;28;254667;1;3;3;2;0
411;28;78958;0;0;3;2;0
412;28;68583;0;0;3;1;0
413;33;90;1;1;1;1;1
414;28;0;0;0;2;2;0
415;44;7925;0;0;3;2;1
416;28;805;1;0;3;2;0
417;34;325;1;1;2;2;1
418;18;13;1;0;2;2;1
419;30;13;0;0;2;2;0
420;10;2415;1;0;3;2;0
421;28;78958;0;0;3;0;0
422;21;77333;0;0;3;1;0
423;29;7875;0;0;3;2;0
424;28;144;1;1;3;2;0
425;18;202125;0;1;3;2;0
426;28;725;0;0;3;2;0
427;28;26;1;1;2;2;1
428;19;26;1;0;2;2;1
429;28;775;0;0;3;1;0
430;32;805;0;0;3;2;1
431;28;2655;0;0;1;2;1
432;28;161;1;1;3;2;1
433;42;26;1;1;2;2;1
434;17;7125;0;0;3;2;0
435;50;559;0;1;1;2;0
436;14;120;1;1;1;2;1
437;21;34375;1;2;3;2;0
438;24;1875;1;2;2;2;1
439;64;263;0;1;1;2;0
440;31;105;0;0;2;2;0
441;45;2625;1;1;2;2;1
442;20;95;0;0;3;2;0
443;25;7775;0;1;3;2;0
444;28;13;1;0;2;2;1
445;28;81125;0;0;3;2;1
446;4;818583;0;0;1;2;1
447;13;195;1;0;2;2;1
448;34;2655;0;0;1;2;1
449;5;192583;1;2;3;0;1
450;52;305;0;0;1;2;1
451;36;2775;0;1;2;2;0
452;28;199667;0;1;3;2;0
453;30;2775;0;0;1;0;0
454;49;891042;0;1;1;0;1
455;28;805;0;0;3;2;0
456;29;78958;0;0;3;0;1
457;65;2655;0;0;1;2;0
458;28;518625;1;1;1;2;1
459;50;105;1;0;2;2;1
460;28;775;0;0;3;1;0
461;48;2655;0;0;1;2;1
462;34;805;0;0;3;2;0
463;47;385;0;0;1;2;0
464;48;13;0;0;2;2;0
465;28;805;0;0;3;2;0
466;38;705;0;0;3;2;0
467;28;0;0;0;2;2;0
468;56;2655;0;0;1;2;0
469;28;7725;0;0;3;1;0
470;75;192583;1;2;3;0;1
471;28;725;0;0;3;2;0
472;38;86625;0;0;3;2;0
473;33;2775;1;1;2;2;1
474;23;137917;1;0;2;0;1
475;22;98375;1;0;3;2;0
476;28;52;0;0;1;2;0
477;34;21;0;1;2;2;0
478;29;70458;0;1;3;2;0
479;22;75208;0;0;3;2;0
480;2;122875;1;0;3;2;1
481;9;469;0;5;3;2;0
482;28;0;0;0;2;2;0
483;50;805;0;0;3;2;0
484;63;95875;1;0;3;2;1
485;25;910792;0;1;1;0;1
486;28;254667;1;3;3;2;0
487;35;90;1;1;1;2;1
488;58;297;0;0;1;0;0
489;30;805;0;0;3;2;0
490;9;159;0;1;3;2;1
491;28;199667;0;1;3;2;0
492;21;725;0;0;3;2;0
493;55;305;0;0;1;2;0
494;71;495042;0;0;1;0;0
495;21;805;0;0;3;2;0
496;28;144583;0;0;3;0;0
497;54;782667;1;1;1;0;1
498;28;151;0;0;3;2;0
499;25;15155;1;1;1;2;0
500;24;77958;0;0;3;2;0
501;17;86625;0;0;3;2;0
502;21;775;1;0;3;1;0
503;28;76292;1;0;3;1;0
504;37;95875;1;0;3;2;0
505;16;865;1;0;1;2;1
506;18;1089;0;1;1;0;0
507;33;26;1;0;2;2;1
508;28;2655;0;0;1;2;1
509;28;22525;0;0;3;2;0
510;26;564958;0;0;3;2;1
511;29;775;0;0;3;1;1
512;28;805;0;0;3;2;0
513;36;262875;0;0;1;2;1
514;54;594;1;1;1;0;1
515;24;74958;0;0;3;2;0
516;47;340208;0;0;1;2;0
517;34;105;1;0;2;2;1
518;28;2415;0;0;3;1;0
519;36;26;1;1;2;2;1
520;32;78958;0;0;3;2;0
521;30;935;1;0;1;2;1
522;22;78958;0;0;3;2;0
523;28;7225;0;0;3;0;0
524;44;579792;1;0;1;0;1
525;28;72292;0;0;3;0;0
526;405;775;0;0;3;1;0
527;50;105;1;0;2;2;1
528;28;2217792;0;0;1;2;0
529;39;7925;0;0;3;2;0
530;23;115;0;2;2;2;0
531;2;26;1;1;2;2;1
532;28;72292;0;0;3;0;0
533;17;72292;0;1;3;0;0
534;28;223583;1;0;3;0;1
535;30;86625;1;0;3;2;0
536;7;2625;1;0;2;2;1
537;45;2655;0;0;1;2;0
538;30;106425;1;0;1;0;1
539;28;145;0;0;3;2;0
540;22;495;1;0;1;0;1
541;36;71;1;0;1;2;1
542;9;31275;1;4;3;2;0
543;11;31275;1;4;3;2;0
544;32;26;0;1;2;2;1
545;50;106425;0;1;1;0;0
546;64;26;0;0;1;2;0
547;19;26;1;1;2;2;1
548;28;138625;0;0;2;0;1
549;33;20525;0;1;3;2;0
550;8;3675;0;1;2;2;1
551;17;1108833;0;0;1;0;1
552;27;26;0;0;2;2;0
553;28;78292;0;0;3;1;0
554;22;7225;0;0;3;0;1
555;22;7775;1;0;3;2;1
556;62;2655;0;0;1;2;0
557;48;396;1;1;1;0;1
558;28;227525;0;0;1;0;0
559;39;7965;1;1;1;2;1
560;36;174;1;1;3;2;1
561;28;775;0;0;3;1;0
562;40;78958;0;0;3;2;0
563;28;135;0;0;2;2;0
564;28;805;0;0;3;2;0
565;28;805;1;0;3;2;0
566;24;2415;0;2;3;2;0
567;19;78958;0;0;3;2;0
568;29;21075;1;0;3;2;0
569;28;72292;0;0;3;0;0
570;32;78542;0;0;3;2;1
571;62;105;0;0;2;2;1
572;53;514792;1;2;1;2;1
573;36;263875;0;0;1;2;1
574;28;775;1;0;3;1;1
575;16;805;0;0;3;2;0
576;19;145;0;0;3;2;0
577;34;13;1;0;2;2;1
578;39;559;1;1;1;2;1
579;28;144583;1;1;3;0;0
580;32;7925;0;0;3;2;1
581;25;30;1;1;2;2;1
582;39;1108833;1;1;1;0;1
583;54;26;0;0;2;2;0
584;36;40125;0;0;1;0;0
585;28;87125;0;0;3;0;0
586;18;7965;1;0;1;2;1
587;47;15;0;0;2;2;0
588;60;792;0;1;1;0;1
589;22;805;0;0;3;2;0
590;28;805;0;0;3;2;0
591;35;7125;0;0;3;2;0
592;52;782667;1;1;1;0;1
593;47;725;0;0;3;2;0
594;28;775;1;0;3;1;0
595;37;26;0;1;2;2;0
596;36;2415;0;1;3;2;0
597;28;33;1;0;2;2;1
598;49;0;0;0;3;2;0
599;28;7225;0;0;3;0;0
600;49;569292;0;1;1;0;1
601;24;27;1;2;2;2;1
602;28;78958;0;0;3;2;0
603;28;424;0;0;1;2;0
604;44;805;0;0;3;2;0
605;35;2655;0;0;1;0;1
606;36;1555;0;1;3;2;0
607;30;78958;0;0;3;2;0
608;27;305;0;0;1;2;1
609;22;415792;1;1;2;0;1
610;40;1534625;1;0;1;2;1
611;39;31275;1;1;3;2;0
612;28;705;0;0;3;2;0
613;28;155;1;1;3;1;1
614;28;775;0;0;3;1;0
615;35;805;0;0;3;2;0
616;24;65;1;1;2;2;1
617;34;144;0;1;3;2;0
618;26;161;1;1;3;2;0
619;4;39;1;2;2;2;1
620;26;105;0;0;2;2;0
621;27;144542;0;1;3;0;0
622;42;525542;0;1;1;2;1
623;20;157417;0;1;3;0;1
624;21;78542;0;0;3;2;0
625;21;161;0;0;3;2;0
626;61;323208;0;0;1;2;0
627;57;1235;0;0;2;1;0
628;21;779583;1;0;1;2;1
629;26;78958;0;0;3;2;0
630;28;77333;0;0;3;1;0
631;80;30;0;0;1;2;1
632;51;70542;0;0;3;2;0
633;32;305;0;0;1;0;1
634;28;0;0;0;1;2;0
635;9;279;1;3;3;2;0
636;28;13;1;0;2;2;1
637;32;7925;0;0;3;2;0
638;31;2625;0;1;2;2;0
639;41;396875;1;0;3;2;0
640;28;161;0;1;3;2;0
641;20;78542;0;0;3;2;0
642;24;693;1;0;1;0;1
643;2;279;1;3;3;2;0
644;28;564958;0;0;3;2;1
645;75;192583;1;2;3;0;1
646;48;767292;0;1;1;0;1
647;19;78958;0;0;3;2;0
648;56;355;0;0;1;0;1
649;28;755;0;0;3;2;0
650;23;755;1;0;3;2;1
651;28;78958;0;0;3;2;0
652;18;23;1;0;2;2;1
653;21;84333;0;0;3;2;0
654;28;78292;1;0;3;1;1
655;18;675;1;0;3;1;0
656;24;735;0;2;2;2;0
657;28;78958;0;0;3;2;0
658;32;155;1;1;3;1;0
659;23;13;0;0;2;2;0
660;58;113275;0;0;1;0;0
661;50;13365;0;2;1;2;1
662;40;7225;0;0;3;0;0
663;47;255875;0;0;1;2;0
664;36;74958;0;0;3;2;0
665;20;7925;0;1;3;2;1
666;32;735;0;2;2;2;0
667;25;13;0;0;2;2;0
668;28;7775;0;0;3;2;0
669;43;805;0;0;3;2;0
670;28;52;1;1;1;2;1
671;40;39;1;1;2;2;1
672;31;52;0;1;1;2;0
673;70;105;0;0;2;2;0
674;31;13;0;0;2;2;1
675;28;0;0;0;2;2;0
676;18;7775;0;0;3;2;0
677;245;805;0;0;3;2;0
678;18;98417;1;0;3;2;1
679;43;469;1;1;3;2;0
680;36;5123292;0;0;1;0;1
681;28;81375;1;0;3;1;0
682;27;767292;0;0;1;0;1
683;20;9225;0;0;3;2;0
684;14;469;0;5;3;2;0
685;60;39;0;1;2;2;0
686;25;415792;0;1;2;0;0
687;14;396875;0;4;3;2;0
688;19;101708;0;0;3;2;0
689;18;77958;0;0;3;2;0
690;15;2113375;1;0;1;2;1
691;31;57;0;1;1;2;1
692;4;134167;1;0;3;0;1
693;28;564958;0;0;3;2;1
694;25;7225;0;0;3;0;0
695;60;2655;0;0;1;2;0
696;52;135;0;0;2;2;0
697;44;805;0;0;3;2;0
698;28;77333;1;0;3;1;1
699;49;1108833;0;1;1;0;0
700;42;765;0;0;3;2;0
701;18;227525;1;1;1;0;1
702;35;262875;0;0;1;2;1
703;18;144542;1;0;3;0;0
704;25;77417;0;0;3;1;0
705;26;78542;0;1;3;2;0
706;39;26;0;0;2;2;0
707;45;135;1;0;2;2;1
708;42;262875;0;0;1;2;1
709;22;15155;1;0;1;2;1
710;28;152458;0;1;3;0;1
711;24;495042;1;0;1;0;1
712;28;2655;0;0;1;2;0
713;48;52;0;1;1;2;1
714;29;94833;0;0;3;2;0
715;52;13;0;0;2;2;0
716;19;765;0;0;3;2;0
717;38;227525;1;0;1;0;1
718;27;105;1;0;2;2;1
719;28;155;0;0;3;1;0
720;33;7775;0;0;3;2;0
721;6;33;1;0;2;2;1
722;17;70542;0;1;3;2;0
723;34;13;0;0;2;2;0
724;50;13;0;0;2;2;0
725;27;531;0;1;1;2;1
726;20;86625;0;0;3;2;0
727;30;21;1;3;2;2;1
728;28;77375;1;0;3;1;1
729;25;26;0;1;2;2;0
730;25;7925;1;1;3;2;0
731;29;2113375;1;0;1;2;1
732;11;187875;0;0;3;0;0
733;28;0;0;0;2;2;0
734;23;13;0;0;2;2;0
735;23;13;0;0;2;2;0
736;285;161;0;0;3;2;0
737;48;34375;1;1;3;2;0
738;35;5123292;0;0;1;0;1
739;28;78958;0;0;3;2;0
740;28;78958;0;0;3;2;0
741;28;30;0;0;1;2;1
742;36;7885;0;1;1;2;0
743;21;262375;1;2;1;0;1
744;24;161;0;1;3;2;0
745;31;7925;0;0;3;2;1
746;70;71;0;1;1;2;0
747;16;2025;0;1;3;2;0
748;30;13;1;0;2;2;1
749;19;531;0;1;1;2;0
750;31;775;0;0;3;1;0
751;4;23;1;1;2;2;1
752;6;12475;0;0;3;2;1
753;33;95;0;0;3;2;0
754;23;78958;0;0;3;2;0
755;48;65;1;1;2;2;1
756;67;145;0;1;2;2;1
757;28;77958;0;0;3;2;0
758;18;115;0;0;2;2;0
759;34;805;0;0;3;2;0
760;33;865;1;0;1;2;1
761;28;145;0;0;3;2;0
762;41;7125;0;0;3;2;0
763;20;72292;0;0;3;0;1
764;36;120;1;1;1;2;1
765;16;7775;0;0;3;2;0
766;51;779583;1;1;1;2;1
767;28;396;0;0;1;0;0
768;305;775;1;0;3;1;0
769;28;2415;0;1;3;1;0
770;32;83625;0;0;3;2;0
771;24;95;0;0;3;2;0
772;48;78542;0;0;3;2;0
773;57;105;1;0;2;2;0
774;28;7225;0;0;3;0;0
775;54;23;1;1;2;2;1
776;18;775;0;0;3;2;0
777;28;775;0;0;3;1;0
778;5;12475;1;0;3;2;1
779;28;77375;0;0;3;1;0
780;43;2113375;1;0;1;2;1
781;13;72292;1;0;3;0;1
782;17;57;1;1;1;2;1
783;29;30;0;0;1;2;0
784;28;2345;0;1;3;2;0
785;25;705;0;0;3;2;0
786;25;725;0;0;3;2;0
787;18;74958;1;0;3;2;1
788;8;29125;0;4;3;1;0
789;1;20575;0;1;3;2;1
790;46;792;0;0;1;0;0
791;28;775;0;0;3;1;0
792;16;26;0;0;2;2;0
793;28;6955;1;8;3;2;0
794;28;306958;0;0;1;0;0
795;25;78958;0;0;3;2;0
796;39;13;0;0;2;2;0
797;49;259292;1;0;1;2;1
798;31;86833;1;0;3;2;1
799;30;72292;0;0;3;0;0
800;30;2415;1;1;3;2;0
801;34;13;0;0;2;2;0
802;31;2625;1;1;2;2;1
803;11;120;0;1;1;2;1
804;42;85167;0;0;3;0;1
805;27;6975;0;0;3;2;1
806;31;7775;0;0;3;2;0
807;39;0;0;0;1;2;0
808;18;7775;1;0;3;2;0
809;39;13;0;0;2;2;0
810;33;531;1;1;1;2;1
811;26;78875;0;0;3;2;0
812;39;2415;0;0;3;2;0
813;35;105;0;0;2;2;0
814;6;31275;1;4;3;2;0
815;305;805;0;0;3;2;0
816;28;0;0;0;1;2;0
817;23;7925;1;0;3;2;0
818;31;370042;0;1;2;0;0
819;43;645;0;0;3;2;0
820;10;279;0;3;3;2;0
821;52;935;1;1;1;2;1
822;27;86625;0;0;3;2;1
823;38;0;0;0;1;2;0
824;27;12475;1;0;3;2;1
825;2;396875;0;4;3;2;0
826;28;695;0;0;3;1;0
827;28;564958;0;0;3;2;0
828;1;370042;0;0;2;0;1
829;28;775;0;0;3;1;1
830;62;80;1;0;1;;1
831;15;144542;1;1;3;0;1
832;83;1875;0;1;2;2;1
833;28;72292;0;0;3;0;0
834;23;78542;0;0;3;2;0
835;18;83;0;0;3;2;0
836;39;831583;1;1;1;0;1
837;21;86625;0;0;3;2;0
838;28;805;0;0;3;2;0
839;32;564958;0;0;3;2;1
840;28;297;0;0;1;0;1
841;20;7925;0;0;3;2;0
